Código AMIE|Nombre de la Institución Educativa|Código División Política Administrativa Provincia|Provincia|Código División Política Administrativa  Cantón|Cantón|Código División Política Administrativa  Parroquia|Parroquia|Zona Administrativa|Denominación del Distrito|Código de Distrito|Código de Circuito Educativo|Sostenimiento|Régimen Escolar|Jurisdicción|Tipo de Educación|Modalidad|Jornada|Nivel|Etnia|Acceso (terrestre/ aéreo/fluvial)|Número de estudiantes|Número de docentes|Estado|
02H00759|17 DE DICIEMBRE|2|BOLIVAR|206|CALUMA|20650|CALUMA|Zona 5|ECHEANDIA – CALUMA – LAS NAVES|02D04|02D04C02_b|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|Terrestre|22|1|Activa|
02H00760|AMABLE ARAUZ|2|BOLIVAR|206|CALUMA|20650|CALUMA|Zona 5|ECHEANDIA – CALUMA – LAS NAVES|02D04|02D04C02_b|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Inicial y Educacción Básica|Mestiza|Terrestre|102|9|Activa|
02H00808|PRIMERO DE ABRIL|2|BOLIVAR|206|CALUMA|20650|CALUMA|Zona 5|ECHEANDIA – CALUMA – LAS NAVES|02D04|02D04C02_b|Fiscomisional|SIERRA|Hispana|Popular Permanente|Semipresencial|Matutina y Vespertina|Educación Básica y Bachillerato|Mestiza|Terrestre|151|10|Activa|
02H00619|HUAYNA CÁPAC|2|BOLIVAR|206|CALUMA|20650|CALUMA|Zona 5|ECHEANDIA – CALUMA – LAS NAVES|02D04|02D04C02_b|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Inicial y Educacción Básica|Mestiza|Terrestre|507|20|Activa|
02H00624|FRANCISCO PIZARRO|2|BOLIVAR|206|CALUMA|20650|CALUMA|Zona 5|ECHEANDIA – CALUMA – LAS NAVES|02D04|02D04C02_b|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Inicial y Educacción Básica|Mestiza|Terrestre|102|6|Activa|
02H00633|SUEÑOS INFANTILES|2|BOLIVAR|206|CALUMA|20650|CALUMA|Zona 5|ECHEANDIA – CALUMA – LAS NAVES|02D04|02D04C02_b|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Inicial|Mestiza|Terrestre|73|3|Activa|
02H00637|FELIZA EGUEZ|2|BOLIVAR|206|CALUMA|20650|CALUMA|Zona 5|ECHEANDIA – CALUMA – LAS NAVES|02D04|02D04C02_b|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Inicial|Mestiza|Terrestre|54|2|Activa|
02H00639|MARIA AUXILIADORA|2|BOLIVAR|206|CALUMA|20650|CALUMA|Zona 5|ECHEANDIA – CALUMA – LAS NAVES|02D04|02D04C02_b|Particular|SIERRA|Hispana|Educación regular|Presencial|Matutina|Educación Básica y Bachillerato|Mestiza|Terrestre|207|18|Activa|
02H00640|6 DE MARZO|2|BOLIVAR|206|CALUMA|20650|CALUMA|Zona 5|ECHEANDIA – CALUMA – LAS NAVES|02D04|02D04C02_b|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|Terrestre|21|1|Activa|
02H00642|ESCUELA GUARANDA|2|BOLIVAR|206|CALUMA|20650|CALUMA|Zona 5|ECHEANDIA – CALUMA – LAS NAVES|02D04|02D04C02_b|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|Terrestre|28|2|Activa|
02H00648|YATUVI|2|BOLIVAR|206|CALUMA|20650|CALUMA|Zona 5|ECHEANDIA – CALUMA – LAS NAVES|02D04|02D04C02_b|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Vespertina|Educación Básica y Bachillerato|Mestiza|Terrestre|60|11|Activa|
02H00653|UNIDAD EDUCATIVA A DISTANCIA DE BOLIVAR EXTENSION CALUMA|2|BOLIVAR|206|CALUMA|20650|CALUMA|Zona 5|ECHEANDIA – CALUMA – LAS NAVES|02D04|02D04C02_b|Fiscomisional|SIERRA|Hispana|Popular Permanente|A Distancia|Matutina|Educación Básica y Bachillerato|Mestiza|Terrestre|161|9|Activa|
02H00655|DIVINO NIÑO JESUS|2|BOLIVAR|206|CALUMA|20650|CALUMA|Zona 5|ECHEANDIA – CALUMA – LAS NAVES|02D04|02D04C02_b|Fiscal|SIERRA|Hispana|Educación Especial|Presencial|Matutina|Inicial y Educacción Básica|Mestiza|Terrestre|11|3|Activa|
02H00656|DR. CESAR AUGUSTO DURANGO|2|BOLIVAR|206|CALUMA|20650|CALUMA|Zona 5|ECHEANDIA – CALUMA – LAS NAVES|02D04|02D04C02_b|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Inicial y Educacción Básica|Mestiza|Terrestre|10|1|Activa|
02H00657|UNIDAD EDUCATIVA COMUNITARIA PARTICULAR BOLIVAR|2|BOLIVAR|206|CALUMA|20650|CALUMA|Zona 5|ECHEANDIA – CALUMA – LAS NAVES|02D04|02D04C02_b|Particular|SIERRA|Hispana|Educación regular|Presencial|Matutina|Inicial y Educacción Básica|Mestiza|Terrestre|31|5|Activa|
02H00686|CENTINELA DE BOLIVAR|2|BOLIVAR|206|CALUMA|20650|CALUMA|Zona 5|ECHEANDIA – CALUMA – LAS NAVES|02D04|02D04C02_b|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|Terrestre|13|1|Activa|
02H00700|COLEGIO DE CICLO BASICO FISCAL POPULAR FISCA L QUINCE DE MAYO|2|BOLIVAR|206|CALUMA|20650|CALUMA|Zona 5|ECHEANDIA – CALUMA – LAS NAVES|02D04|02D04C02_b|Fiscal|SIERRA|Hispana|Popular Permanente|Presencial|Vespertina|Educación Básica|Mestiza|Terrestre|42|6|Activa|
02H00720|CENTRO BELLA FLOR|2|BOLIVAR|206|CALUMA|20650|CALUMA|Zona 5|ECHEANDIA – CALUMA – LAS NAVES|02D04|02D04C02_b|Fiscal|SIERRA|Hispana|Popular Permanente|Presencial|Vespertina|Alfabetización P.P|Mestiza|Terrestre|18|1|Activa|
02H00741|BELLA VISTA|2|BOLIVAR|206|CALUMA|20650|CALUMA|Zona 5|ECHEANDIA – CALUMA – LAS NAVES|02D04|02D04C02_b|Fiscal|SIERRA|Hispana|Popular Permanente|Presencial|Vespertina|Alfabetización P.P|Mestiza|Terrestre|24|1|Activa|
02H00644|DR ALFREDO NOBOA MONTENEGRO|2|BOLIVAR|206|CALUMA|20650|CALUMA|Zona 5|ECHEANDIA – CALUMA – LAS NAVES|02D04|02D04C02_b|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Educación Básica y Bachillerato|Mestiza|Terrestre|73|10|Activa|
02H00703|NUEVOS HORIZONTES|2|BOLIVAR|206|CALUMA|20650|CALUMA|Zona 5|ECHEANDIA – CALUMA – LAS NAVES|02D04||Fiscal|SIERRA|Hispana|Popular Permanente|Presencial|Vespertina|Alfabetización P.P|Mestiza|Terrestre|21|1|Activa|
02H00706|ABELARDO FLORES|2|BOLIVAR|206|CALUMA|20650|CALUMA|Zona 5|ECHEANDIA – CALUMA – LAS NAVES|02D04||Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|Terrestre|12|1|Activa|
02H00714|23 DE AGOSTO|2|BOLIVAR|206|CALUMA|20650|CALUMA|Zona 5|ECHEANDIA – CALUMA – LAS NAVES|02D04||Fiscal|SIERRA|Hispana|Popular Permanente|Presencial|Vespertina|Alfabetización P.P|Indígena|Terrestre|19|1|Activa|
02H00730|ALFREDO LEON VELASCO|2|BOLIVAR|206|CALUMA|20650|CALUMA|Zona 5|ECHEANDIA – CALUMA – LAS NAVES|02D04||Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|Terrestre|12|1|Activa|
02H00734|JESUS DEL GRAN PODER|2|BOLIVAR|206|CALUMA|20650|CALUMA|Zona 5|ECHEANDIA – CALUMA – LAS NAVES|02D04||Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Inicial|Mestiza|Terrestre|17|1|Activa|
02H00744|SAN PEDRITO|2|BOLIVAR|206|CALUMA|20650|CALUMA|Zona 5|ECHEANDIA – CALUMA – LAS NAVES|02D04||Fiscal|SIERRA|Hispana|Popular Permanente|Presencial|Vespertina|Alfabetización P.P|Mestiza|Terrestre|23|1|Activa|
02H00786|SAN VICENTE|2|BOLIVAR|206|CALUMA|20650|CALUMA|Zona 5|ECHEANDIA – CALUMA – LAS NAVES|02D04||Fiscal|SIERRA|Hispana|Popular Permanente|Presencial|Vespertina|Alfabetización P.P|Mestiza|Terrestre|20|1|Activa|
02H00788|PUEBLO NUEVO|2|BOLIVAR|206|CALUMA|20650|CALUMA|Zona 5|ECHEANDIA – CALUMA – LAS NAVES|02D04||Fiscal|SIERRA|Hispana|Popular Permanente|Presencial|Vespertina|Alfabetización P.P|Mestiza|Terrestre|26|1|Activa|
02H00801|ESTERO DEL PESCADO|2|BOLIVAR|206|CALUMA|20650|CALUMA|Zona 5|ECHEANDIA – CALUMA – LAS NAVES|02D04||Fiscal|SIERRA|Hispana|Popular Permanente|Presencial|Vespertina|Alfabetización y Artesanal P.P|Mestiza|Terrestre|11|0|Activa|
02H00298|COLEGIO FISCAL TECNICO POPULAR SANTA ROSA|2|BOLIVAR|202|CHILLANES|20251|SAN JOSE DEL TAMBO (TAMBOPAMBA)|Zona 5|CHILLANES|02D02|02D02C01_a|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Nocturna|Educación Básica|Mestiza|Terrestre|36|5|Activa|
02H00309|JULIO CARDONA GAVILANES|2|BOLIVAR|202|CHILLANES|20251|SAN JOSE DEL TAMBO (TAMBOPAMBA)|Zona 5|CHILLANES|02D02|02D02C01_a|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|Terrestre|12|1|Activa|
02H00312|17 DE ENERO|2|BOLIVAR|202|CHILLANES|20251|SAN JOSE DEL TAMBO (TAMBOPAMBA)|Zona 5|CHILLANES|02D02|02D02C01_a|Fiscal|SIERRA|Hispana|Popular Permanente|Presencial|Vespertina|Educación Básica|Mestiza|Terrestre|30|4|Activa|
02H00313|GUILLERMO SERAFIN BARRAGAN|2|BOLIVAR|202|CHILLANES|20251|SAN JOSE DEL TAMBO (TAMBOPAMBA)|Zona 5|CHILLANES|02D02|02D02C01_a|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|Terrestre|8|1|Activa|
02H00314|CIUDAD DE TULCAN|2|BOLIVAR|202|CHILLANES|20251|SAN JOSE DEL TAMBO (TAMBOPAMBA)|Zona 5|CHILLANES|02D02|02D02C01_a|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|Terrestre|13|1|Activa|
02H00319|FRANCISCO DE ORELLANA|2|BOLIVAR|202|CHILLANES|20251|SAN JOSE DEL TAMBO (TAMBOPAMBA)|Zona 5|CHILLANES|02D02|02D02C01_a|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|Terrestre|16|1|Activa|
02H00320|PRIMICIAS DE LA CULTURA QUITO|2|BOLIVAR|202|CHILLANES|20251|SAN JOSE DEL TAMBO (TAMBOPAMBA)|Zona 5|CHILLANES|02D02|02D02C01_a|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|Terrestre|10|1|Activa|
02H00327|CABO MINACHO|2|BOLIVAR|202|CHILLANES|20251|SAN JOSE DEL TAMBO (TAMBOPAMBA)|Zona 5|CHILLANES|02D02|02D02C01_a|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|Terrestre|33|2|Activa|
02H00328|CRUZ ROJA|2|BOLIVAR|202|CHILLANES|20251|SAN JOSE DEL TAMBO (TAMBOPAMBA)|Zona 5|CHILLANES|02D02|02D02C01_a|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|Terrestre|9|1|Activa|
02H00333|DARIO C. GUEVARA|2|BOLIVAR|202|CHILLANES|20251|SAN JOSE DEL TAMBO (TAMBOPAMBA)|Zona 5|CHILLANES|02D02|02D02C01_a|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Inicial y Educacción Básica|Mestiza|Terrestre|376|19|Activa|
02H00334|PLAN INTERNACIONAL|2|BOLIVAR|202|CHILLANES|20251|SAN JOSE DEL TAMBO (TAMBOPAMBA)|Zona 5|CHILLANES|02D02|02D02C01_a|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|Terrestre|13|1|Activa|
02H00337|SANTA ISABEL|2|BOLIVAR|202|CHILLANES|20251|SAN JOSE DEL TAMBO (TAMBOPAMBA)|Zona 5|CHILLANES|02D02|02D02C01_a|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|Terrestre|5|1|Activa|
02H00329|TECNICO SAN JOSE|2|BOLIVAR|202|CHILLANES|20251|SAN JOSE DEL TAMBO (TAMBOPAMBA)|Zona 5|CHILLANES|02D02|02D02C01_a|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Educación Básica y Bachillerato|Mestiza|Terrestre|493|18|Activa|
02H00574|HAITI|2|BOLIVAR|202|CHILLANES|20251|SAN JOSE DEL TAMBO (TAMBOPAMBA)|Zona 5|CHILLANES|02D02|02D02C01_a|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|Terrestre|10|1|Activa|
02H00577|ALCIDES RIBADENEIRA|2|BOLIVAR|202|CHILLANES|20251|SAN JOSE DEL TAMBO (TAMBOPAMBA)|Zona 5|CHILLANES|02D02|02D02C01_a|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|Terrestre|35|2|Activa|
02H00579|DR. JOSE MIGUEL DEL POZO|2|BOLIVAR|202|CHILLANES|20251|SAN JOSE DEL TAMBO (TAMBOPAMBA)|Zona 5|CHILLANES|02D02|02D02C01_a|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|Terrestre|14|1|Activa|
02H00283|ARTURO GONZALEZ POZO|2|BOLIVAR|202|CHILLANES|20251|SAN JOSE DEL TAMBO (TAMBOPAMBA)|Zona 5|CHILLANES|02D02|02D02C01_b|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|Terrestre|15|1|Activa|
02H00321|VICTOR TAPIA OÑATE|2|BOLIVAR|202|CHILLANES|20251|SAN JOSE DEL TAMBO (TAMBOPAMBA)|Zona 5|CHILLANES|02D02|02D02C01_b|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|Terrestre|26|2|Activa|
02H00332|BENITO JUAREZ|2|BOLIVAR|202|CHILLANES|20251|SAN JOSE DEL TAMBO (TAMBOPAMBA)|Zona 5|CHILLANES|02D02|02D02C01_b|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|Terrestre|22|1|Activa|
02H00336|CHILLANES|2|BOLIVAR|202|CHILLANES|20251|SAN JOSE DEL TAMBO (TAMBOPAMBA)|Zona 5|CHILLANES|02D02|02D02C01_b|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|Terrestre|36|1|Activa|
02H00833|CENTRO LA PROVIDENCIA|2|BOLIVAR|202|CHILLANES|20251|SAN JOSE DEL TAMBO (TAMBOPAMBA)|Zona 5|CHILLANES|02D02|02D02C01_b|Fiscal|SIERRA|Hispana|Popular Permanente|Presencial|Vespertina|Alfabetización P.P|Mestiza|Terrestre|21|1|Activa|
02H00310|COLEGIO  COLOMBIA|2|BOLIVAR|202|CHILLANES|20251|SAN JOSE DEL TAMBO (TAMBOPAMBA)|Zona 5|CHILLANES|02D02|02D02C01_b|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|Terrestre|132|7|Activa|
02H00331|CIUDAD DE BABAHOYO|2|BOLIVAR|202|CHILLANES|20251|SAN JOSE DEL TAMBO (TAMBOPAMBA)|Zona 5|CHILLANES|02D02|02D02C01_b|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|Terrestre|26|1|Activa|
02H00297|REINO DE QUITO|2|BOLIVAR|202|CHILLANES|20251|SAN JOSE DEL TAMBO (TAMBOPAMBA)|Zona 5|CHILLANES|02D02|02D02C01_b|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|Terrestre|12|1|Activa|
12H00181|LUIS LAUTARO LARA ANDRADE|2|BOLIVAR|202|CHILLANES|20251|SAN JOSE DEL TAMBO (TAMBOPAMBA)|Zona 5|CHILLANES|02D02|02D02C01_b|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|Terrestre|17|1|Activa|
02H00305|MAGDALENA|2|BOLIVAR|202|CHILLANES|20250|CHILLANES|Zona 5|CHILLANES|02D02|02D02C02_a|Fiscal|SIERRA|Hispana|Popular Permanente|Presencial|Vespertina|Alfabetización y Artesanal P.P|Mestiza|Terrestre|30|1|Activa|
02H00239|EEB 27 DE FEBRERO|2|BOLIVAR|202|CHILLANES|20250|CHILLANES|Zona 5|CHILLANES|02D02|02D02C02_a|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|Terrestre|22|1|Activa|
02H00800|CENTRO DE ALFABETIZACION LA PALMIRA|2|BOLIVAR|202|CHILLANES|20250|CHILLANES|Zona 5|CHILLANES|02D02|02D02C02_a|Fiscal|SIERRA|Hispana|Popular Permanente|Presencial|Nocturna|Alfabetización P.P|Mestiza|Terrestre|20|1|Activa|
02H00699|ESCUELA FISCAL MIXTA DR ANTONIO BERMEO|2|BOLIVAR|202|CHILLANES|20250|CHILLANES|Zona 5|CHILLANES|02D02|02D02C02_a|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|Terrestre|5|1|Activa|
02H00281|NESTOR PAZOS ORTUÑO|2|BOLIVAR|202|CHILLANES|20250|CHILLANES|Zona 5|CHILLANES|02D02|02D02C02_a|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|Terrestre|14|1|Activa|
02H00289|NACIONAL SANTA ROSA DE CERRITOS|2|BOLIVAR|202|CHILLANES|20250|CHILLANES|Zona 5|CHILLANES|02D02|02D02C02_a|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Educación Básica y Bachillerato|Mestiza|Terrestre|72|8|Activa|
02H00296|ORIENTE ECUATORIANO|2|BOLIVAR|202|CHILLANES|20250|CHILLANES|Zona 5|CHILLANES|02D02|02D02C02_a|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|Terrestre|11|1|Activa|
02H00236|EEB REPUBLICA DE CHILE|2|BOLIVAR|202|CHILLANES|20250|CHILLANES|Zona 5|CHILLANES|02D02|02D02C02_a|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|Terrestre|3|1|Activa|
02H00255|EEB CARLOS MANTILLA ORTEGA|2|BOLIVAR|202|CHILLANES|20250|CHILLANES|Zona 5|CHILLANES|02D02|02D02C02_a|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|Terrestre|36|2|Activa|
02H00284|LETICIA MONTENEGRO|2|BOLIVAR|202|CHILLANES|20250|CHILLANES|Zona 5|CHILLANES|02D02|02D02C02_a|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|Terrestre|78|6|Activa|
02H00234|PRIMERO DE JUNIO|2|BOLIVAR|202|CHILLANES|20250|CHILLANES|Zona 5|CHILLANES|02D02|02D02C02_b|Fiscal|SIERRA|Hispana|Popular Permanente|Presencial|Vespertina|Educación Básica|Mestiza|Terrestre|47|6|Activa|
02H00248|EEB JUNIN|2|BOLIVAR|202|CHILLANES|20250|CHILLANES|Zona 5|CHILLANES|02D02|02D02C02_b|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Inicial y Educacción Básica|Mestiza|Terrestre|24|2|Activa|
02H00252|CENTRO  SAN PEDRO|2|BOLIVAR|202|CHILLANES|20250|CHILLANES|Zona 5|CHILLANES|02D02|02D02C02_b|Fiscal|SIERRA|Hispana|Popular Permanente|Presencial|Vespertina|Alfabetización P.P|Mestiza|Terrestre|23|1|Activa|
02H00253|CENTRO POPULAR LUZ Y PROGRESO|2|BOLIVAR|202|CHILLANES|20250|CHILLANES|Zona 5|CHILLANES|02D02|02D02C02_b|Fiscal|SIERRA|Hispana|Popular Permanente|Presencial|Vespertina|Alfabetización P.P|Mestiza|Terrestre|20|1|Activa|
02H00258|CEBJA SAN VICENTE|2|BOLIVAR|202|CHILLANES|20250|CHILLANES|Zona 5|CHILLANES|02D02|02D02C02_b|Fiscal|SIERRA|Hispana|Popular Permanente|Presencial|Nocturna|Alfabetización P.P|Mestiza|Terrestre|23|1|Activa|
02H00817|VIRGEN DEL HUAYCO|2|BOLIVAR|202|CHILLANES|20250|CHILLANES|Zona 5|CHILLANES|02D02|02D02C02_b|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Inicial|Mestiza|Terrestre|15|2|Activa|
